scheme_name,level_1,Daily Return
ABSL Frontline Equity Fund - Regular - Growth,VaR_95,-0.013281661986281489
ABSL Frontline Equity Fund - Regular - Growth,CVaR_95,-0.017439425687129195
ABSL Liquid Fund - Regular - Growth,VaR_95,-0.0002686575130400159
ABSL Liquid Fund - Regular - Growth,CVaR_95,-0.0004220820655857685
ABSL Small Cap Fund - Regular - Growth,VaR_95,-0.026021248221061066
ABSL Small Cap Fund - Regular - Growth,CVaR_95,-0.03245905898704435
Axis Bluechip Fund - Direct - Growth,VaR_95,-0.014225516634796053
Axis Bluechip Fund - Direct - Growth,CVaR_95,-0.01748670974901306
Axis Bluechip Fund - Regular - Growth,VaR_95,-0.013749592076363814
Axis Bluechip Fund - Regular - Growth,CVaR_95,-0.017327870956436054
Axis Midcap Fund - Regular - Growth,VaR_95,-0.018480276243938307
Axis Midcap Fund - Regular - Growth,CVaR_95,-0.02426005947837057
Axis Small Cap Fund - Regular - Growth,VaR_95,-0.02618842440959035
Axis Small Cap Fund - Regular - Growth,CVaR_95,-0.03166729360598028
DSP Midcap Fund - Regular - Growth,VaR_95,-0.017882076201903473
DSP Midcap Fund - Regular - Growth,CVaR_95,-0.02260664210042033
DSP Small Cap Fund - Regular - Growth,VaR_95,-0.023483069386777154
DSP Small Cap Fund - Regular - Growth,CVaR_95,-0.03103625202188441
DSP Top 100 Equity Fund - Regular - Growth,VaR_95,-0.014473851983792741
DSP Top 100 Equity Fund - Regular - Growth,CVaR_95,-0.018401747612732604
HDFC Mid-Cap Opportunities Fund - Direct - Growth,VaR_95,-0.018365320169601018
HDFC Mid-Cap Opportunities Fund - Direct - Growth,CVaR_95,-0.02309379305316794
HDFC Mid-Cap Opportunities Fund - Regular - Growth,VaR_95,-0.019033535861558825
HDFC Mid-Cap Opportunities Fund - Regular - Growth,CVaR_95,-0.023455762770703794
HDFC Short Term Debt Fund - Regular - Growth,VaR_95,-0.003793246199522682
HDFC Short Term Debt Fund - Regular - Growth,CVaR_95,-0.004993763020560281
HDFC Top 100 Fund - Direct Plan - Growth,VaR_95,-0.014591769071140459
HDFC Top 100 Fund - Direct Plan - Growth,CVaR_95,-0.018309885328057912
HDFC Top 100 Fund - Regular Plan - Growth,VaR_95,-0.014363639988111142
HDFC Top 100 Fund - Regular Plan - Growth,CVaR_95,-0.01806020763217176
ICICI Pru Bluechip Fund - Direct - Growth,VaR_95,-0.013728193295939772
ICICI Pru Bluechip Fund - Direct - Growth,CVaR_95,-0.017494143685606606
ICICI Pru Bluechip Fund - Regular - Growth,VaR_95,-0.01355001716250348
ICICI Pru Bluechip Fund - Regular - Growth,CVaR_95,-0.01745055416552432
ICICI Pru Liquid Fund - Regular - Growth,VaR_95,-0.00022157351389344714
ICICI Pru Liquid Fund - Regular - Growth,CVaR_95,-0.00037258039979649643
ICICI Pru Midcap Fund - Regular - Growth,VaR_95,-0.01889178619869274
ICICI Pru Midcap Fund - Regular - Growth,CVaR_95,-0.02434207039551981
ICICI Pru Value Discovery Fund - Regular - Growth,VaR_95,-0.014388462899080912
ICICI Pru Value Discovery Fund - Regular - Growth,CVaR_95,-0.01940489860249691
Kotak Bluechip Fund - Regular - Growth,VaR_95,-0.013141782186804063
Kotak Bluechip Fund - Regular - Growth,CVaR_95,-0.01636273661834337
Kotak Emerging Equity Fund - Regular - Growth,VaR_95,-0.01821853045255608
Kotak Emerging Equity Fund - Regular - Growth,CVaR_95,-0.02272497526268088
Kotak Flexicap Fund - Regular - Growth,VaR_95,-0.014507941385630474
Kotak Flexicap Fund - Regular - Growth,CVaR_95,-0.018381077688017156
Kotak Liquid Fund - Regular - Growth,VaR_95,-0.00028479272823556107
Kotak Liquid Fund - Regular - Growth,CVaR_95,-0.00041099591933232505
Mirae Asset Emerging Bluechip Fund - Regular - Growth,VaR_95,-0.014711531333512795
Mirae Asset Emerging Bluechip Fund - Regular - Growth,CVaR_95,-0.01876476958423089
Mirae Asset Large Cap Fund - Regular - Growth,VaR_95,-0.01355977641751056
Mirae Asset Large Cap Fund - Regular - Growth,CVaR_95,-0.017622879905822203
Mirae Asset Tax Saver Fund - Regular - Growth,VaR_95,-0.017118192655621135
Mirae Asset Tax Saver Fund - Regular - Growth,CVaR_95,-0.021328305810328105
Nippon India ETF Nifty 50 BeES,VaR_95,-0.012553697284754662
Nippon India ETF Nifty 50 BeES,CVaR_95,-0.01617696049480912
Nippon India Gilt Securities Fund - Regular - Growth,VaR_95,-0.003804146068944347
Nippon India Gilt Securities Fund - Regular - Growth,CVaR_95,-0.004918918420478294
Nippon India Large Cap Fund - Direct - Growth,VaR_95,-0.013442525143024242
Nippon India Large Cap Fund - Direct - Growth,CVaR_95,-0.016630178254004827
Nippon India Large Cap Fund - Regular - Growth,VaR_95,-0.013954045870018117
Nippon India Large Cap Fund - Regular - Growth,CVaR_95,-0.017618579320162156
Nippon India Small Cap Fund - Regular - Growth,VaR_95,-0.025438111458963106
Nippon India Small Cap Fund - Regular - Growth,CVaR_95,-0.032304072697818535
SBI Bluechip Fund - Direct Plan - Growth,VaR_95,-0.013500970479935082
SBI Bluechip Fund - Direct Plan - Growth,CVaR_95,-0.017335699664199813
SBI Bluechip Fund - Regular Plan - Growth,VaR_95,-0.012846228628842571
SBI Bluechip Fund - Regular Plan - Growth,CVaR_95,-0.01639680693408763
SBI Magnum Gilt Fund - Regular Plan - Growth,VaR_95,-0.003938283121850805
SBI Magnum Gilt Fund - Regular Plan - Growth,CVaR_95,-0.005013693153022244
SBI Small Cap Fund - Direct Plan - Growth,VaR_95,-0.02685943514961382
SBI Small Cap Fund - Direct Plan - Growth,CVaR_95,-0.03238412245049217
SBI Small Cap Fund - Regular Plan - Growth,VaR_95,-0.0245070519056771
SBI Small Cap Fund - Regular Plan - Growth,CVaR_95,-0.03059526410880242
UTI Flexi Cap Fund - Regular - Growth,VaR_95,-0.015231617279157872
UTI Flexi Cap Fund - Regular - Growth,CVaR_95,-0.019411182679158694
UTI Mid Cap Fund - Regular - Growth,VaR_95,-0.01922028344426503
UTI Mid Cap Fund - Regular - Growth,CVaR_95,-0.023250860269221213
UTI Nifty 50 Index Fund - Regular - Growth,VaR_95,-0.01261262882069356
UTI Nifty 50 Index Fund - Regular - Growth,CVaR_95,-0.01549040525311211
